1. Qwen/QwQ-32B | pipeline=text-generation | likes=2937 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
2. Qwen/Qwen-Image | pipeline=text-to-image | likes=2529 | tags: diffusers, safetensors, text-to-image, en, zh, arxiv:2508.02324, license:apache-2.0, diffusers:QwenImagePipeline
3. Qwen/Qwen-Image-Edit | pipeline=image-to-image | likes=2444 | tags: diffusers, safetensors, image-to-image, en, zh, arxiv:2508.02324, license:apache-2.0, region:us
4. Qwen/Qwen3.6-35B-A3B | pipeline=image-text-to-text | likes=2319 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, license:apache-2.0, eval-results, endpoints_compatible
5. Qwen/Qwen2.5-Coder-32B-Instruct | pipeline=text-generation | likes=2062 | tags: transformers, safetensors, qwen2, text-generation, code, codeqwen, chat, qwen
6. Qwen/Qwen2.5-Omni-7B | pipeline=any-to-any | likes=1913 | tags: transformers, safetensors, qwen2_5_omni, multimodal, any-to-any, en, arxiv:2503.20215, license:other
7. Qwen/Qwen3.6-27B | pipeline=image-text-to-text | likes=1878 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, license:apache-2.0, eval-results, endpoints_compatible
8. Qwen/QwQ-32B-Preview | pipeline=text-generation | likes=1740 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2407.10671
9. Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice | pipeline=text-to-speech | likes=1669 | tags: safetensors, qwen3_tts, text-to-speech, arxiv:2601.15621, license:apache-2.0, region:us
10. Qwen/Qwen3.5-9B | pipeline=image-text-to-text | likes=1658 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-9B-Base, base_model:finetune:Qwen/Qwen3.5-9B-Base, license:apache-2.0
11. Qwen/Qwen2.5-VL-7B-Instruct | pipeline=image-text-to-text | likes=1605 | tags: transformers, safetensors, qwen2_5_vl, image-text-to-text, multimodal, conversational, en, arxiv:2309.00071
12. Qwen/Qwen3.5-397B-A17B | pipeline=image-text-to-text | likes=1526 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, license:apache-2.0, eval-results, endpoints_compatible
13. Qwen/Qwen3-Coder-Next | pipeline=text-generation | likes=1505 | tags: transformers, safetensors, qwen3_next, text-generation, conversational, license:apache-2.0, eval-results, endpoints_compatible
14. Qwen/Qwen3.5-35B-A3B | pipeline=image-text-to-text | likes=1455 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-35B-A3B-Base, base_model:finetune:Qwen/Qwen3.5-35B-A3B-Base, license:apache-2.0
15. Qwen/Qwen2.5-7B-Instruct | pipeline=text-generation | likes=1397 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
16. Qwen/Qwen3-0.6B | pipeline=text-generation | likes=1383 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-0.6B-Base, base_model:finetune:Qwen/Qwen3-0.6B-Base
